dp_id,standard,family,disclosure_requirement,description,datapoint_type,coverage_score,band,top_chunk_source,top_chunk_page,top_chunk_text
E1-1,E1,Environment,Transition plan,Transition plan for climate change mitigation aligned with the Paris Agreement 1.5C goal,narrative,0.09781190092703158,amber,Corporate context and sustainability framework_2025_ENG.pdf,22,ESRS (CSRD) Código y definición Dueño E3. Water resource sustainability Technological and Infrastructure Innovation S4. Service resilience and reliability O1: Deficiencies in the quality and quantity …
E1-2,E1,Environment,Policies,Policies related to climate change mitigation and adaptation,narrative,0.15189047023761318,green,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,16,"16Aqualia | Presentación Corporativa | 2025 Phase 3: Material Topics 2025 Material Topics 2025 (16) Material Topics 2024 (15) Water Efficiency, Commitment to Climate Change Mitigation and Adaptation, …"
E1-3,E1,Environment,Actions,Actions and resources in relation to climate change policies including financial effects,semi-narrative,0.07226598875767178,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,16,"16Aqualia | Presentación Corporativa | 2025 Phase 3: Material Topics 2025 Material Topics 2025 (16) Material Topics 2024 (15) Water Efficiency, Commitment to Climate Change Mitigation and Adaptation, …"
E1-4,E1,Environment,Targets,Measurable targets for GHG emission reductions absolute and intensity with base year,quantitative,0.06036013745182706,dark_red,Corporate context and sustainability framework_2025_ENG.pdf,12,1. Context Internal Management. Integrated Management System Architecture Aqualia’s corporate-level management model integrates all key strategic elements into a coherent ecosystem that links context …
E1-5,E1,Environment,Energy consumption,Energy consumption and mix total MWh by source renewable vs non-renewable,quantitative,0.0746135064105286,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,10,"10 Review of the Double Materiality Phase 1.1: Contextual Analysis – Key Findings S&P Global Multi & Water Utilities Sector Assessment dimensions: • Environmental (44%): climate strategy, water manage…"
E1-6,E1,Environment,Gross Scopes 1 2 3 GHG emissions,Gross Scope 1 Scope 2 and Scope 3 GHG emissions tCO2e with methodology,quantitative,0.10559772115585749,amber,Methodology Double Materiality Assessment Review.pdf,5,"2. Assessment of Impact Materiality The impacts on the different stakeholder groups may be positive or negative, and current or potential. They are assessed as follows: • Potential impacts: assessed i…"
E1-7,E1,Environment,GHG removals and mitigation,GHG removals and GHG mitigation projects financed through carbon credits,quantitative,0.04863219788778656,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,6,"6 Since 2020, several relevant regulations preceding the European Water Resilience Strategy have paved the way: ▪ 2021: Glasgow Declaration for Fair Water Footprints (International) – promotes corpora…"
E1-8,E1,Environment,Internal carbon pricing,Internal carbon pricing schemes used to support decision making,semi-narrative,0.1064452876926741,green,Corporate context and sustainability framework_2025_ENG.pdf,12,1. Context Internal Management. Integrated Management System Architecture Aqualia’s corporate-level management model integrates all key strategic elements into a coherent ecosystem that links context …
E1-9,E1,Environment,Anticipated financial effects,Anticipated financial effects from material physical and transition risks and opportunities,quantitative,0.14832917115515487,green,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,14,Identification of ESRS-Aligned IROs: Risks & Opportunities Based on the list of material topics resulting from the contextual analysis carried out according to the EFRAG-proposed list and in alignment…
E2-1,E2,Environment,Pollution policies,Policies related to pollution prevention and control including emerging pollutants,narrative,0.07757202868601613,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,6,"6 Since 2020, several relevant regulations preceding the European Water Resilience Strategy have paved the way: ▪ 2021: Glasgow Declaration for Fair Water Footprints (International) – promotes corpora…"
E2-2,E2,Environment,Pollution actions,Actions and resources related to pollution,semi-narrative,0.044818069932050265,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
E2-3,E2,Environment,Pollution targets,Targets related to pollution reduction,quantitative,0.049354898107030615,dark_red,Aqualia_SR_2023_ES.pdf,33,33 Informe de Sostenibilidad 2023 Total de Iniciativas por meta Metas LE1 LE2 LE3 LE4 LE5 LE6 LE7 Iniciativas Meta 12.4 - 2 - - - - - 2 Meta 12.5 - 2 - - - - - 4 Meta 12.8 5 - - - 2 - - 7 Meta 13.1 - …
E2-4,E2,Environment,Pollution emissions,Pollution of air water and soil by type of pollutant and medium,quantitative,0.037691312365319835,dark_red,Methodology Double Materiality Assessment Review.pdf,6,"For each impact, a consolidated rating is calculated: • For current impacts, the consolidated rating is equivalent to the severity, calculated as the average of (Scale + Scope + Remediability) / 3, mu…"
E2-5,E2,Environment,Substances of concern,Substances of concern and substances of very high concern produced used or sold,quantitative,0.04541386188620338,dark_red,Corporate narrative about DM process_Aqualia.pdf,3,"aware, connected and aligned organisation, with a more mature map of impacts, risks and opportunities and a reinforced strategic framework. A more dynamic and accurate materiality that strengthens lon…"
E3-1,E3,Environment,Water marine policies,Policies related to water and marine resources including water stewardship,narrative,0.09249759725296684,amber,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
E3-2,E3,Environment,Water actions,Actions and resources related to water and marine resources,semi-narrative,0.07732599982780027,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
E3-3,E3,Environment,Water targets,Targets related to water and marine resources including water-stressed areas,quantitative,0.07480330926961258,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
E3-4,E3,Environment,Water consumption,Water consumption total and in water-stressed areas by source,quantitative,0.055136960235243136,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,7,"7 2025: EU Water Resilience Strategy (European Union) A high-level strategy adopted in June, focused on water security in the face of scarcity and pollution. It sets out an integrated, circular and di…"
E3-5,E3,Environment,Water financial effects,Anticipated financial effects from water and marine resources material risks and opportunities,quantitative,0.11917142416004271,green,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,14,Identification of ESRS-Aligned IROs: Risks & Opportunities Based on the list of material topics resulting from the contextual analysis carried out according to the EFRAG-proposed list and in alignment…
E4-1,E4,Environment,Biodiversity transition plan,Transition plan and consideration of biodiversity and ecosystems in strategy,narrative,0.08091528004455216,red,Aqualia_SR_2024_web.pdf,135,"Una organización diversa e inclusiva Nuestra cultura no es solo transformadora y saludable, también es diversa e inclusiva. Hemos conseguido crear espacios de respeto, inclusivos, igualitarios y libre…"
E4-2,E4,Environment,Biodiversity policies,Policies related to biodiversity and ecosystems,narrative,0.07661478459332487,red,Aqualia_SR_2024_web.pdf,135,"Una organización diversa e inclusiva Nuestra cultura no es solo transformadora y saludable, también es diversa e inclusiva. Hemos conseguido crear espacios de respeto, inclusivos, igualitarios y libre…"
E4-3,E4,Environment,Biodiversity actions,Actions and resources related to biodiversity and ecosystems,semi-narrative,0.06802756119648128,red,Aqualia_SR_2024_web.pdf,135,"Una organización diversa e inclusiva Nuestra cultura no es solo transformadora y saludable, también es diversa e inclusiva. Hemos conseguido crear espacios de respeto, inclusivos, igualitarios y libre…"
E4-4,E4,Environment,Biodiversity targets,Targets related to biodiversity and ecosystems including no net loss commitments,quantitative,0.07387688507138375,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
E4-5,E4,Environment,Impact metrics biodiversity,Impact metrics related to biodiversity and ecosystems change including land use,quantitative,0.0941802145335215,amber,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,16,"16Aqualia | Presentación Corporativa | 2025 Phase 3: Material Topics 2025 Material Topics 2025 (16) Material Topics 2024 (15) Water Efficiency, Commitment to Climate Change Mitigation and Adaptation, …"
E4-6,E4,Environment,Biodiversity financial effects,Anticipated financial effects from biodiversity and ecosystem risks and opportunities,quantitative,0.11734898174862447,green,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,14,Identification of ESRS-Aligned IROs: Risks & Opportunities Based on the list of material topics resulting from the contextual analysis carried out according to the EFRAG-proposed list and in alignment…
E5-1,E5,Environment,Circular economy policies,Policies related to resource use and circular economy,narrative,0.07958154577807655,red,Corporate context and sustainability framework_2025_ENG.pdf,3,"1. Context Aqualia. The Water Sector. Competitors The water sector is undergoing a profound transformation, driven by climate urgency, resource scarcity and increasingly stringent regulatory requireme…"
E5-2,E5,Environment,Circular economy actions,Actions and resources related to resource use and circular economy,semi-narrative,0.08928353276675645,amber,Corporate context and sustainability framework_2025_ENG.pdf,3,"1. Context Aqualia. The Water Sector. Competitors The water sector is undergoing a profound transformation, driven by climate urgency, resource scarcity and increasingly stringent regulatory requireme…"
E5-3,E5,Environment,Circular economy targets,Targets related to resource use and circular economy,quantitative,0.07486807859455592,red,Corporate context and sustainability framework_2025_ENG.pdf,3,"1. Context Aqualia. The Water Sector. Competitors The water sector is undergoing a profound transformation, driven by climate urgency, resource scarcity and increasingly stringent regulatory requireme…"
E5-4,E5,Environment,Resource inflows,Resource inflows including materials by weight or volume and recycled content,quantitative,0.05075962641181706,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
E5-5,E5,Environment,Resource outflows,Resource outflows including products and waste by destination recycling reuse,quantitative,0.08568410847386927,red,Aqualia_SR_2023_ES.pdf,102,102 Informe de Sostenibilidad 2023 4. Planeta: comprometidos con la regeneración Innovación para proteger los ecosistemas y la lucha contra el cambio climático Registro Acrónimo Nombre completo Inicio…
E5-6,E5,Environment,Circular financial effects,Anticipated financial effects from resource use and circular economy risks and opportunities,quantitative,0.1226969088454658,green,Methodology Double Materiality Assessment Review.pdf,7,"3. Assessment of Financial Materiality Risks and opportunities are assessed on the basis of their probability of occurrence and the potential magnitude of their financial effects in the short, medium …"
S1-1,S1,Social,Own workforce policies,Policies related to own workforce including health safety D&I human rights,narrative,0.11668766645407082,green,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S1-2,S1,Social,Workforce engagement,Processes for engaging with own workforce and workers representatives,semi-narrative,0.033861401069574894,dark_red,Aqualia_SR_2022_ES.pdf,168,168 Aqualia | Informe de Sostenibilidad 2022 | Tecnología y digitalización para una gestión consciente y eficiente Tecnología al servicio de una plantilla cada vez más conectada y global La apuesta de…
S1-3,S1,Social,Workforce remediation,Channels for own workers to raise concerns and processes to remediate negative impacts,semi-narrative,0.07649161544410997,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,13,"Phase 2: Inclusion of CSRD Nuances, Reformulation of IROs and Value Chain Mapping Identification of ESRS-Aligned IROs: Impacts Impact Identification: This analysis was conducted through desk research,…"
S1-4,S1,Social,Workforce actions,Actions and resources for own workforce including training D&I,semi-narrative,0.044428190657049664,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S1-5,S1,Social,Workforce targets,Targets related to managing material impacts on own workforce,quantitative,0.05230673124903682,dark_red,Methodology Double Materiality Assessment Review.pdf,3,"1. Context analysis AQUALIA 2025: Double Materiality Assessment Review In June 2025, Aqualia decided to conduct a review of its 2024 Double Materiality Assessment in order to reformulate its material …"
S1-6,S1,Social,Workforce characteristics,Characteristics of own workforce by gender country contract employment type,quantitative,0.03590944577116426,dark_red,Aqualia_SR_2022_ES.pdf,168,168 Aqualia | Informe de Sostenibilidad 2022 | Tecnología y digitalización para una gestión consciente y eficiente Tecnología al servicio de una plantilla cada vez más conectada y global La apuesta de…
S1-7,S1,Social,Non-employees,Characteristics of non-employees in own workforce contractors agency,quantitative,0.052906853430023,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S1-14,S1,Social,Health and safety,Health and safety metrics coverage fatalities recordable injuries ill health rates,quantitative,0.14018801831205585,green,Aqualia_SR_2025_ES.pdf,84,84 Informe de Sostenibilidad Aqualia 2025 Mensaje del CEO Hitos 2025 Somos Aqualia Estrategia Información ambiental Información social Información de gobernanza Anexos Participaciones sobre salud y se…
S1-16,S1,Social,Remuneration gender pay,Remuneration metrics including gender pay gap and total remuneration ratio,quantitative,0.04614722749223452,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S1-17,S1,Social,Discrimination incidents,Incidents of discrimination and complaints mechanisms,quantitative,0.03941370192318485,dark_red,Corporate context and sustainability framework_2025_ENG.pdf,12,1. Context Internal Management. Integrated Management System Architecture Aqualia’s corporate-level management model integrates all key strategic elements into a coherent ecosystem that links context …
S2-1,S2,Social,Value chain workers policies,Policies related to value chain workers including human rights due diligence,narrative,0.1041676069716111,amber,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S2-2,S2,Social,Value chain workers engagement,Processes for engaging with value chain workers,semi-narrative,0.10580964605819572,green,Corporate context and sustainability framework_2025_ENG.pdf,1,Corporate Context and Sustainability Framework Sustainability and Innovation Deparment January 2026 Index 1. Context 2. Stakeholders 3. Value Chain 4. Double Materiality Assessment…
S2-3,S2,Social,Value chain workers remediation,Channels for value chain workers to raise concerns,semi-narrative,0.09001603774028237,amber,Corporate context and sustainability framework_2025_ENG.pdf,1,Corporate Context and Sustainability Framework Sustainability and Innovation Deparment January 2026 Index 1. Context 2. Stakeholders 3. Value Chain 4. Double Materiality Assessment…
S2-4,S2,Social,Value chain workers actions,Actions and resources for value chain workers,semi-narrative,0.08646043575382066,amber,Corporate context and sustainability framework_2025_ENG.pdf,1,Corporate Context and Sustainability Framework Sustainability and Innovation Deparment January 2026 Index 1. Context 2. Stakeholders 3. Value Chain 4. Double Materiality Assessment…
S2-5,S2,Social,Value chain workers targets,Targets related to managing material impacts on value chain workers,quantitative,0.09207891381173798,amber,Corporate context and sustainability framework_2025_ENG.pdf,1,Corporate Context and Sustainability Framework Sustainability and Innovation Deparment January 2026 Index 1. Context 2. Stakeholders 3. Value Chain 4. Double Materiality Assessment…
S3-1,S3,Social,Affected communities policies,Policies related to affected communities including Indigenous Peoples,narrative,0.05957761772084755,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S3-2,S3,Social,Community engagement,Processes for engaging with affected communities,semi-narrative,0.054288071816136575,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S3-3,S3,Social,Community remediation,Channels for affected communities to raise concerns and access to remedy,semi-narrative,0.05983089468813583,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S3-4,S3,Social,Community actions,Actions and resources to address material impacts on affected communities,semi-narrative,0.05859596280831405,dark_red,Methodology Double Materiality Assessment Review.pdf,3,"1. Context analysis AQUALIA 2025: Double Materiality Assessment Review In June 2025, Aqualia decided to conduct a review of its 2024 Double Materiality Assessment in order to reformulate its material …"
S3-5,S3,Social,Community targets,Targets related to managing material impacts on affected communities,quantitative,0.06137309512685026,dark_red,Methodology Double Materiality Assessment Review.pdf,3,"1. Context analysis AQUALIA 2025: Double Materiality Assessment Review In June 2025, Aqualia decided to conduct a review of its 2024 Double Materiality Assessment in order to reformulate its material …"
S4-1,S4,Social,Consumer policies,Policies related to consumers and end users including privacy service quality access,narrative,0.10241916427556015,amber,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S4-2,S4,Social,Consumer engagement,Processes for engaging with consumers and end users,semi-narrative,0.0458587923313274,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
S4-3,S4,Social,Consumer remediation,Channels for consumers to raise concerns and complaint handling,semi-narrative,0.04332721556009269,dark_red,Corporate context and sustainability framework_2025_ENG.pdf,14,1. Context Global Customer Satisfaction Results 2024 The detailed analysis of customer satisfaction surveys by country reveals differentiated patterns that reflect the particular characteristics of ea…
S4-4,S4,Social,Consumer actions,Actions and resources to address consumer impacts including service continuity,semi-narrative,0.0593435125311469,dark_red,Corporate context and sustainability framework_2025_ENG.pdf,14,1. Context Global Customer Satisfaction Results 2024 The detailed analysis of customer satisfaction surveys by country reveals differentiated patterns that reflect the particular characteristics of ea…
S4-5,S4,Social,Consumer targets,Targets related to managing material impacts on consumers and end users,quantitative,0.061353250622106,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
G1-1,G1,Governance,Business conduct governance,Role of the administrative management and supervisory bodies in business conduct,narrative,0.08722424042018795,amber,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
G1-2,G1,Governance,Business conduct policies,Policies on business conduct matters including anti-corruption and anti-bribery,narrative,0.10399456885484026,amber,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
G1-3,G1,Governance,Corruption prevention,Prevention and detection of corruption and bribery including training coverage,semi-narrative,0.06049795881597014,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
G1-4,G1,Governance,Corruption incidents,Confirmed incidents of corruption or bribery and public cases,quantitative,0.06170380825084124,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
G1-5,G1,Governance,Political engagement,Political influence and lobbying activities including contributions,quantitative,0.06396768545173309,dark_red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
G1-6,G1,Governance,Payment practices,Payment practices to suppliers including average payment days,quantitative,0.0829071422331714,red,Aqualia_SR_2023_ES.pdf,73,73 3. Impulsamos nuestra versión más transformadora y sostenible Comunicación transparente Informe de Sostenibilidad 2023 En 2023 con el objetivo de avanzar más en la dirección marcada por la directiv…
G1-7,G1,Governance,Business ethics culture,Business ethics culture including whistleblower protection mechanisms,semi-narrative,0.07969313568987775,red,v2_VF_Aqualia Informe final Revision Doble Materialidad 2025_ENG.pdf,11,"11 Phase 1.2: Conclusions from the Competitor Materiality Analysis — Listings To Aqualia’s existing High Risks, additional risks were incorporated due to recurrence among competitors and insights from…"
G1-8,G1,Governance,Data governance cyber,Data governance and cybersecurity practices for business critical systems,narrative,0.09493133543046263,amber,Corporate context and sustainability framework_2025_ENG.pdf,4,1. Context The Water Sector. Competitors. Best Practices The analysis of best practices within the sector reveals a set of technological and operational capabilities that define excellence in the mana…
AQ-DIG-1,AQ,Sector,Digital twin deployment,Deployment of digital twin of the water network and coverage percentage,quantitative,0.07619660329434073,red,Corporate context and sustainability framework_2025_ENG.pdf,5,1. Context The Water Sector. Competitors. Strengths and Weaknesses The SWOT analysis of the main competitors makes it possible to identify competitive advantages and common areas of vulnerability with…
AQ-DIG-2,AQ,Sector,AI for operations,Use of AI for demand prediction leak detection predictive maintenance,semi-narrative,0.12241585335974887,green,Corporate context and sustainability framework_2025_ENG.pdf,15,"Aqualia faces an increasingly complex environment that requires simultaneous responses across multiple fronts: technical, sustainability-related and commercial. These challenges are not isolated obsta…"
AQ-CYB-1,AQ,Sector,Cyber incident response plan,Cybersecurity incident response plan testing frequency and OT/IT scope,semi-narrative,0.07637825990739378,red,Corporate context and sustainability framework_2025_ENG.pdf,19,4. Double Materiality Review CSRD Material Topics and Integrated Risk Management Reformulation of Material Topics in line with CSRD Based on the 12 major ESG themes identified through the contextual a…
AQ-CYB-2,AQ,Sector,Cyber investment,Annual investment in cybersecurity and OT/IT security,quantitative,0.060123844023030164,dark_red,Aqualia_SR_2023_ES.pdf,136,136 Informe de Sostenibilidad 2023 6. Tecnología y digitalización para un servicio excelente Hacia una gestión del agua basada en datos en tiempo real Gestión inteligente e integrada Tratamiento y pot…
AQ-FIN-1,AQ,Sector,Green bond issuance,Volume and coverage of green sustainability-linked and social bonds,quantitative,0.08598431437258798,red,Corporate context and sustainability framework_2025_ENG.pdf,15,"Aqualia faces an increasingly complex environment that requires simultaneous responses across multiple fronts: technical, sustainability-related and commercial. These challenges are not isolated obsta…"
AQ-FIN-2,AQ,Sector,EU Taxonomy alignment,EU Taxonomy eligible and aligned revenue CAPEX and OPEX,quantitative,0.12777058345809172,green,Aqualia_SR_2024_web.pdf,103,"alineados por taxonomía (numerador), dividida por la facturación total de la empresa, CapEx y OpEx definido por taxonomía (denominador). • Facturación–volumen de negocio: proporción de facturación-vol…"
AQ-FIN-3,AQ,Sector,TNFD alignment,TNFD LEAP assessment coverage and nature-related financial disclosure,semi-narrative,0.1491366208761258,green,Corporate narrative about DM process_Aqualia.pdf,1,"Aqualia’s Double Materiality Review: Turning Sustainability into a Strategic Engine for Long‑Term Value Aqualia’s vision: growth, financial strength and positive impact At Aqualia, growth, financial s…"
AQ-OPS-1,AQ,Sector,Non-revenue water,Non-revenue water NRW percentage by concession and trend,quantitative,0.09413903503201022,amber,Corporate context and sustainability framework_2025_ENG.pdf,15,"Aqualia faces an increasingly complex environment that requires simultaneous responses across multiple fronts: technical, sustainability-related and commercial. These challenges are not isolated obsta…"
AQ-OPS-2,AQ,Sector,Energy intensity,Energy intensity kWh per m3 of water treated and distributed,quantitative,0.06636816663279342,red,Aqualia_SR_2024_web.pdf,91,"ACTUACIÓN DESTACADA EN 2024 Hub Reusa En el contexto de las nuevas exigencias legales, el Hub Reusa se enfoca en la regeneración y reutilización avanzadas de aguas residuales urbanas. Se trata de una …"
AQ-OPS-3,AQ,Sector,Water reuse percentage,Percentage of treated wastewater reused and target pathway,quantitative,0.049150883357162195,dark_red,Corporate context and sustainability framework_2025_ENG.pdf,15,"Aqualia faces an increasingly complex environment that requires simultaneous responses across multiple fronts: technical, sustainability-related and commercial. These challenges are not isolated obsta…"
AQ-OPS-4,AQ,Sector,Sludge valorisation,Sludge valorisation pathways and percentage treated,quantitative,0.05241660667578277,dark_red,Corporate context and sustainability framework_2025_ENG.pdf,15,"Aqualia faces an increasingly complex environment that requires simultaneous responses across multiple fronts: technical, sustainability-related and commercial. These challenges are not isolated obsta…"
